"issn","journal_title","publisher","data_journal_type"
"2363-4952","RIDE - A review journal for digital editions and resources","Institut für Dokumentologie und Editorik","pure"
"2059-481X","Journal of Open Humanities Data","Ubiquity Press","pure"
"2296-7745","Frontiers in Marine Science","Frontiers","mixed"
"2054-345X","Human Genome Variation","Springer Nature","mixed"
"2032-6378","Journal of Astronomical Data","Vrije Universiteit Brussel","pure"
"2603-431X","Viticulture Data Journal","Pensoft Publishers","pure"
"2661-8850","BMC Molecular and Cell Biology","BioMed Central (Springer Nature)","mixed"
"1472-6823","BMC Endocrine Disorders","BioMed Central (Springer Nature)","mixed"
"0092-640X","Atomic Data and Nuclear Data Tables","Elsevier","pure"
"1314-2003","PhytoKeys","Pensoft Publishers","mixed"
"1314-2488","NeoBiota","Pensoft Publishers","mixed"
"1314-2828","Biodiversity Data Journal","Pensoft Publishers","mixed"
"1314-3301","Nature Conservation","Pensoft Publishers","mixed"
"1314-4049","MycoKeys","Pensoft Publishers","mixed"
"1471-2105","BMC Bioinformatics","BioMed Central (Springer Nature)","mixed"
"1471-2121","BMC Molecular and Cell Biology","BioMed Central (Springer Nature)","mixed"
"1471-2148","BMC Evolutionary Biology","BioMed Central (Springer Nature)","mixed"
"1471-2156","BMC Genomic Data","BioMed Central (Springer Nature)","mixed"
"1471-2164","BMC Genomics","BioMed Central (Springer Nature)","mixed"
"1471-2172","BMC Immunology","BioMed Central (Springer Nature)","mixed"
"1471-2180","BMC Microbiology","BioMed Central (Springer Nature)","mixed"
"1471-2202","BMC Neuroscience","BioMed Central (Springer Nature)","mixed"
"1471-2229","BMC Plant Biology","BioMed Central (Springer Nature)","mixed"
"1471-2253","BMC Anesthesiology","BioMed Central (Springer Nature)","mixed"
"1471-2261","BMC Cardiovascular Disorders","BioMed Central (Springer Nature)","mixed"
"1471-227X","BMC Emergency Medicine","BioMed Central (Springer Nature)","mixed"
"1471-2288","BMC Medical Research Methodology","BioMed Central (Springer Nature)","mixed"
"1471-2296","BMC Primary Care","BioMed Central (Springer Nature)","mixed"
"1471-230X","BMC Gastroenterology","BioMed Central (Springer Nature)","mixed"
"1471-2318","BMC Geriatrics","BioMed Central (Springer Nature)","mixed"
"1471-2334","BMC Infectious Diseases","BioMed Central (Springer Nature)","mixed"
"1471-2342","BMC Medical Imaging","BioMed Central (Springer Nature)","mixed"
"1471-2369","BMC Nephrology","BioMed Central (Springer Nature)","mixed"
"1471-2377","BMC Neurology","BioMed Central (Springer Nature)","mixed"
"1471-2393","BMC Pregnancy and Childbirth","BioMed Central (Springer Nature)","mixed"
"1471-2407","BMC Cancer","BioMed Central (Springer Nature)","mixed"
"1471-2415","BMC Ophthalmology","BioMed Central (Springer Nature)","mixed"
"1471-2431","BMC Pediatrics","BioMed Central (Springer Nature)","mixed"
"1471-244X","BMC Psychiatry","BioMed Central (Springer Nature)","mixed"
"1471-2458","BMC Public Health","BioMed Central (Springer Nature)","mixed"
"1471-2466","BMC Pulmonary Medicine","BioMed Central (Springer Nature)","mixed"
"1471-2474","BMC Musculoskeletal Disorders","BioMed Central (Springer Nature)","mixed"
"1471-2482","BMC Surgery","BioMed Central (Springer Nature)","mixed"
"1471-2490","BMC Urology","BioMed Central (Springer Nature)","mixed"
"1472-6750","BMC Biotechnology","BioMed Central (Springer Nature)","mixed"
"1472-6785","BMC Ecology","BioMed Central (Springer Nature)","mixed"
"1472-6831","BMC Oral Health","BioMed Central (Springer Nature)","mixed"
"1472-684X","BMC Palliative Care","BioMed Central (Springer Nature)","mixed"
"1472-6874","BMC Women s Health","BioMed Central (Springer Nature)","mixed"
"1472-6882","BMC Complementary and Alternative Medicine","BioMed Central (Springer Nature)","mixed"
"1472-6920","BMC Medical Education","BioMed Central (Springer Nature)","mixed"
"1472-6939","BMC Medical Ethics","BioMed Central (Springer Nature)","mixed"
"1472-6947","BMC Medical Informatics and Decision Making","BioMed Central (Springer Nature)","mixed"
"1472-6955","BMC Nursing","BioMed Central (Springer Nature)","mixed"
"1472-6963","BMC Health Services Research","BioMed Central (Springer Nature)","mixed"
"1479-7364","Human Genomics","BioMed Central (Springer Nature)","mixed"
"1550-2783","Journal of the International Society of Sports Nutrition","Taylor & Francis","mixed"
"1559-0089","Neuroinformatics","Springer (Springer Nature)","mixed"
"1741-3176","The International Journal of Robotics Research","SAGE Publishing","mixed"
