"id","ISSN","journal_title","publisher","URL","data_journal_type","is_active","enrichment_source","eissn","pissn","language","oa_start","boai","publication_time_weeks","keywords","subject[].term","subject[]","publisher.name","publisher.country","institution.name","institution.country","editorial.review_process","editorial.review_url","editorial.board_url","license[].type","apc.has_apc","apc.max","apc.url","other_charges.has_other_charges","waiver.has_waiver","waiver.url","preservation.has_preservation","preservation.service","preservation.url","pid_scheme.scheme","plagiarism.detection","plagiarism.url","copyright.author_retains","copyright.url","deposit_policy.has_policy","deposit_policy.service","deposit_policy.url","article.license_display","article.license_display_example_url","ref.journal","ref.aims_scope","ref.oa_statement","ref.author_instructions","ref.license_terms"
"45","1297-966X","Annals of Forest Science","BioMed Central (Springer Nature)","https://annforsci.biomedcentral.com/","mixed","True","doaj.org","1297-966X","1286-4560","['EN']","2022","True","28","['forestry', 'trees', 'wood', 'forest ecosystems', 'bioeconomy']","['Forestry']","[{'code': 'SD1-669.5', 'scheme': 'LCC', 'term': 'Forestry'}]","BMC","GB","French National Institute for Agriculture, Food and Environment (INRAE)","FR","['Double anonymous peer review']","https://annforsci.biomedcentral.com/submission-guidelines/peer-review-policy","https://annforsci.biomedcentral.com/about/editorial-board","['CC BY']","True","[{'price': 1940, 'currency': 'EUR'}, {'price': 2470, 'currency': 'USD'}, {'price': 1740, 'currency': 'GBP'}]","https://annforsci.biomedcentral.com/submission-guidelines/fees-and-funding","False","True","https://www.springernature.com/gp/open-research/policies/journal-policies/apc-waiver-countries","True","['CLOCKSS', 'Portico']","https://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data#journal+archiving","['DOI']","True","https://www.biomedcentral.com/getpublished/editorial-policies#duplicate+publication","True","https://annforsci.biomedcentral.com/submission-guidelines/copyright","True","['Open Policy Finder']","https://openpolicyfinder.jisc.ac.uk/id/publication/21362","['Embed']","https://annforsci.biomedcentral.com/articles/10.1186/s13595-022-01138-8","https://annforsci.biomedcentral.com/","https://annforsci.biomedcentral.com/about","https://annforsci.biomedcentral.com/about","https://annforsci.biomedcentral.com/submission-guidelines","https://annforsci.biomedcentral.com/submission-guidelines/copyright"
"34","1698-0476","Arxius de Miscel·lània Zoològica","Museu de Ciències Naturals de Barcelona","https://museucienciesjournals.cat/en/amz","pure","True","doaj.org","1698-0476","None","['CA', 'EN', 'ES']","2003","True","12","['faunistics', 'chorology', 'phenology', 'morphology', 'descriptive ecology', 'zoological diversity']","['Zoology']","[{'code': 'QL1-991', 'scheme': 'LCC', 'term': 'Zoology'}]","Museu de Ciències Naturals de Barcelona","ES","None","None","['Anonymous peer review']","http://amz.museucienciesjournals.cat/editorial-policy/?lang=en","http://amz.museucienciesjournals.cat/editorial-pannel/?lang=en","['CC BY']","False","[]","http://amz.museucienciesjournals.cat/editorial-policy/?lang=en","False","False","None","False","[]","http://amz.museucienciesjournals.cat/editorial-policy/?lang=en","['DOI']","False","None","True","http://amz.museucienciesjournals.cat/editorial-policy/?lang=en","True","['Dulcinea', 'Open Policy Finder']","None","['Embed']","http://amz.museucienciesjournals.cat/files/AMZ_vol_18_2020_pp_43-50-Pares-Casanova-et-al.pdf","http://amz.museucienciesjournals.cat/","http://amz.museucienciesjournals.cat/about/?lang=en","http://amz.museucienciesjournals.cat/editorial-policy/?lang=en","http://amz.museucienciesjournals.cat/authors-guidelines/?lang=en","http://amz.museucienciesjournals.cat/editorial-policy/?lang=en"
"46","1090-2090","Atomic Data and Nuclear Data Tables","Elsevier","https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables","pure","True","journal homepage","1090-2090","0092-640X","['EN']","","False","16","['energy levels', 'interaction cross-sections', 'spectroscopy', 'transition probabilities', 'wavefunctions', 'x rays']","['Nuclear and particle physics. Atomic energy. Radioactivity']","[{'code': 'QC770-798', 'scheme': 'LCC', 'term': 'Nuclear and particle physics. Atomic energy. Radioactivity'}]","Elsevier","GB","","CN","['Anonymous peer review']","https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables/publish/guide-for-authors#about-the-journal-peer-review","https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables/about/editorial-board","['CC BY', 'CC BY-NC', 'CC BY-NC-ND', 'Restricted Access']","True","[{'price': 3230, 'currency': 'USD'}]","https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables/publish/open-access-options","","","","","","","","","","","","","","","","","https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables","https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables/about/aims-and-scope","https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables/publish/open-access-options","https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables/publish/guide-for-authors",""
"1","2574-5417","Big Earth Data","Taylor & Francis","https://www.tandfonline.com/journals/tbed20","mixed","True","doaj.org","2574-5417","2096-4471","['EN']","2017","True","10","['geography', 'geology', 'atmospheric science', 'marine science', 'earth system science', 'big data studies']","['Geography. Anthropology. Recreation', 'Geology']","[{'code': 'G', 'scheme': 'LCC', 'term': 'Geography. Anthropology. Recreation'}, {'code': 'QE1-996.5', 'scheme': 'LCC', 'term': 'Geology'}]","Taylor & Francis Group","GB","The International Society for Digital Earth","CN","['Anonymous peer review']","https://www.tandfonline.com/action/authorSubmission?journalCode=TBED&page=instructions","https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=TBED","['CC BY', 'CC BY-NC']","True","[{'price': 1200, 'currency': 'EUR'}, {'price': 1250, 'currency': 'USD'}, {'price': 1000, 'currency': 'GBP'}]","https://www.tandfonline.com/action/authorSubmission?journalCode=TBED&page=instructions","False","True","https://authorservices.taylorandfrancis.com/apc-discounts-and-waivers/","True","['CLOCKSS', 'LOCKSS', 'Portico']","https://librarianresources.taylorandfrancis.com/product-info/journals/title-by-title/","['DOI']","True","https://www.tandfonline.com/action/authorSubmission?journalCode=TBED&page=instructions","False","https://authorservices.taylorandfrancis.com/publishing-your-research/moving-through-production/copyright-for-journal-authors/","True","['Open Policy Finder']","https://openpolicyfinder.jisc.ac.uk/id/publication/41952","['Embed']","https://tandfonline.com/action/showCopyRight?scroll=top&doi=10.1080%2F20964471.2018.1433790","https://www.tandfonline.com/journals/tbed","https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=TBED","https://www.tandfonline.com/action/authorSubmission?journalCode=TBED&page=instructions","https://www.tandfonline.com/action/authorSubmission?journalCode=TBED&page=instructions","https://authorservices.taylorandfrancis.com/publishing-open-access/open-access-cost-finder/"
"47","1314-2828","Biodiversity Data Journal","Pensoft Publishers","https://bdj.pensoft.net/","mixed","True","doaj.org","1314-2828","None","['EN']","2013","True","6","['biodiversity data', 'data publishing', 'authoring tool']","['Biology (General)']","[{'code': 'QH301-705.5', 'scheme': 'LCC', 'term': 'Biology (General)'}]","Pensoft Publishers","BG","None","None","['Anonymous peer review']","http://bdj.pensoft.net/about#Peer-review","http://bdj.pensoft.net/browse_journal_groups.php?journal_id=1&grp_id=93","['CC BY']","True","[{'price': 650, 'currency': 'EUR'}]","https://bdj.pensoft.net/about#ArticleProcessingCharges","False","True","https://bdj.pensoft.net/about#DiscountsandWaivers","True","['CLOCKSS', 'LOCKSS', 'Portico']","https://portal.issn.org/resource/ISSN/1314-2828","['DOI']","False","None","True","http://bdj.pensoft.net/about#Licenses-and-Copyright","True","[""Publisher's site""]","https://bdj.pensoft.net/about#IndexingandArchivingPolicy","['Embed']","http://bdj.pensoft.net/articles.php?id=4735&display_type=list&element_type=8","http://bdj.pensoft.net","http://bdj.pensoft.net/about#Focus-and-Scope","http://bdj.pensoft.net/about#Publication-Ethics-and-Malpractice-Statement","http://bdj.pensoft.net/about#For-authors","http://bdj.pensoft.net/about#Licenses-and-Copyright"
"48","2242-1300","BioInvasions Records","Regional Euro-Asian Biological Invasions Centre","https://www.reabic.net/journals/bir/","mixed","True","doaj.org","2242-1300","None","['EN']","2012","True","16","['biological invasions', 'alien species', 'ecology', 'zoology', 'aquatic ecosystems', 'terrestrial ecosystems']","['Science', 'Biology (General)']","[{'code': 'Q', 'scheme': 'LCC', 'term': 'Science'}, {'code': 'QH301-705.5', 'scheme': 'LCC', 'term': 'Biology (General)'}]","Regional Euro-Asian Biological Invasions Centre (REABIC)","FI","None","None","['Anonymous peer review']","http://www.reabic.net/journals/bir/Submission.aspx","http://www.reabic.net/journals/bir/Editors.aspx","['CC BY']","True","[{'price': 900, 'currency': 'EUR'}]","http://www.reabic.net/journals/bir/Submission.aspx","False","True","http://www.reabic.net/journals/bir/Submission.aspx","False","[]","None","['DOI']","False","None","True","http://www.reabic.net/journals/bir/About.aspx","False","[]","None","['No']","None","http://www.reabic.net/journals/bir/","http://www.reabic.net/journals/bir/About.aspx","http://www.reabic.net/journals/bir/About.aspx","http://www.reabic.net/journals/bir/Submission.aspx","http://www.reabic.net/journals/bir/About.aspx"
"49","2042-6410","Biology of Sex Differences","BioMed Central (Springer Nature)","https://bsd.biomedcentral.com/","mixed","True","doaj.org","2042-6410","None","['EN']","2010","True","14","['sex differences', 'physiology']","['Medicine', 'Physiology']","[{'code': 'R', 'scheme': 'LCC', 'term': 'Medicine'}, {'code': 'QP1-981', 'scheme': 'LCC', 'term': 'Physiology'}]","BMC","GB","Society for Women's Health Research","None","['Anonymous peer review']","https://bsd.biomedcentral.com/about","https://bsd.biomedcentral.com/about/editorial-board","['CC BY', 'CC0']","True","[{'price': 2790, 'currency': 'EUR'}, {'price': 3290, 'currency': 'USD'}, {'price': 2490, 'currency': 'GBP'}]","https://link.springer.com/journal/13293/how-to-publish-with-us#Fees%20and%20funding","False","True","https://www.springernature.com/gp/open-research/policies/journal-policies/apc-waiver-countries","True","['LOCKSS', 'CLOCKSS', 'Portico', 'PMC']","https://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/journal-archiving","['DOI']","True","http://www.biomedcentral.com/getpublished/editorial-policies#duplicate+publication","True","https://bsd.biomedcentral.com/submission-guidelines/copyright","True","['Open Policy Finder']","https://openpolicyfinder.jisc.ac.uk/publication/18501?from=single_hit","['Embed']","http://bsd.biomedcentral.com/articles/10.1186/s13293-016-0078-6","https://bsd.biomedcentral.com","https://bsd.biomedcentral.com/about","http://bsd.biomedcentral.com/about","https://bsd.biomedcentral.com/submission-guidelines","https://bsd.biomedcentral.com/submission-guidelines/copyright"
"50","1471-2253","BMC Anesthesiology","BioMed Central (Springer Nature)","https://bmcanesthesiol.biomedcentral.com/","mixed","True","doaj.org","1471-2253","None","['EN']","2001","True","24","['anaesthesiology', 'pain management', 'anaesthetic mechanisms']","['Anesthesiology']","[{'code': 'RD78.3-87.3', 'scheme': 'LCC', 'term': 'Anesthesiology'}]","BMC","GB","None","None","['Open peer review']","https://bmcanesthesiol.biomedcentral.com/about","https://bmcanesthesiol.biomedcentral.com/about/editorial-board","['CC BY', 'CC BY-NC-ND']","True","[{'price': 2890, 'currency': 'EUR'}, {'price': 3290, 'currency': 'USD'}, {'price': 2590, 'currency': 'GBP'}]","https://link.springer.com/journal/12871/how-to-publish-with-us#Fees%20and%20funding","False","True","https://www.springernature.com/gp/open-research/policies/journal-policies/apc-waiver-countries","True","['CLOCKSS', 'PMC']","https://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data#journal+archiving","['DOI']","True","https://www.biomedcentral.com/getpublished/editorial-policies#duplicate+publication","False","https://bmcanesthesiol.biomedcentral.com/submission-guidelines/copyright","True","['Open Policy Finder']","https://openpolicyfinder.jisc.ac.uk/publication/2406?from=single_hit","['Embed']","https://bmcanesthesiol.biomedcentral.com/articles/10.1186/s12871-015-0095-8","https://bmcanesthesiol.biomedcentral.com","https://bmcanesthesiol.biomedcentral.com/about","https://bmcanesthesiol.biomedcentral.com/about","https://bmcanesthesiol.biomedcentral.com/submission-guidelines","https://bmcanesthesiol.biomedcentral.com/submission-guidelines/copyright"
"51","1471-2105","BMC Bioinformatics","BioMed Central (Springer Nature)","https://bmcbioinformatics.biomedcentral.com/","mixed","True","doaj.org","1471-2105","None","['EN']","2000","True","19","['bioinformatics', 'computational biology']","['Computer applications to medicine. Medical informatics', 'Biology (General)']","[{'code': 'R858-859.7', 'scheme': 'LCC', 'term': 'Computer applications to medicine. Medical informatics'}, {'code': 'QH301-705.5', 'scheme': 'LCC', 'term': 'Biology (General)'}]","BMC","GB","None","None","['Anonymous peer review']","https://bmcbioinformatics.biomedcentral.com/about","https://bmcbioinformatics.biomedcentral.com/about/editorial-board","['CC BY', 'CC BY-NC-ND']","True","[{'price': 2590, 'currency': 'EUR'}, {'price': 3090, 'currency': 'USD'}, {'price': 2290, 'currency': 'GBP'}]","https://link.springer.com/journal/12859/how-to-publish-with-us#Fees%20and%20funding","False","True","https://www.springernature.com/gp/open-research/policies/journal-policies/apc-waiver-countries","True","['LOCKSS', 'PMC']","https://www.biomedcentral.com/publishing-services/indexing-archiving-and-access-to-data/journal-archiving","['DOI']","True","http://www.biomedcentral.com/submissions/editorial-policies#duplicate+publication","False","https://bmcbioinformatics.biomedcentral.com/submission-guidelines/copyright","True","['Open Policy Finder']","https://openpolicyfinder.jisc.ac.uk/publication/2207?from=single_hit","['Embed']","http://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-016-1068-8","https://www.biomedcentral.com/bmcbioinformatics/","https://bmcbioinformatics.biomedcentral.com/about","http://bmcbioinformatics.biomedcentral.com/about","https://bmcbioinformatics.biomedcentral.com/submission-guidelines","https://bmcbioinformatics.biomedcentral.com/submission-guidelines/copyright"
"52","1741-7007","BMC Biology","BioMed Central (Springer Nature)","https://bmcbiol.biomedcentral.com/","mixed","True","doaj.org","1741-7007","None","['EN']","2003","True","9","['biology']","['Biology (General)']","[{'code': 'QH301-705.5', 'scheme': 'LCC', 'term': 'Biology (General)'}]","BMC","GB","None","None","['Peer review']","https://bmcbiol.biomedcentral.com/about","https://bmcbiol.biomedcentral.com/about/editorial-board","['CC BY', 'CC BY-NC-ND']","True","[{'price': 3090, 'currency': 'EUR'}, {'price': 3790, 'currency': 'USD'}, {'price': 2690, 'currency': 'GBP'}]","https://link.springer.com/journal/12915/how-to-publish-with-us#Fees%20and%20funding","False","True","https://www.springernature.com/gp/open-research/policies/journal-policies/apc-waiver-countries","True","['CLOCKSS', 'PMC', 'Portico']","https://www.biomedcentral.com/getpublished/indexing-archiving-and-access-to-data/journal-archiving","['DOI']","True","http://www.biomedcentral.com/submissions/editorial-policies#duplicate+publication","False","https://bmcbiol.biomedcentral.com/submission-guidelines/copyright","True","['Open Policy Finder']","https://openpolicyfinder.jisc.ac.uk/publication/2408","['Embed']","http://bmcbiol.biomedcentral.com/articles/10.1186/s12915-016-0256-3","https://www.biomedcentral.com/bmcbiol/","https://bmcbiol.biomedcentral.com/about","http://bmcbiol.biomedcentral.com/about","https://bmcbiol.biomedcentral.com/submission-guidelines","https://bmcbiol.biomedcentral.com/submission-guidelines/copyright"
